49 11
start_x start_y start_z objective_x objective_y objective_z step distance_threshold escalado_vectores flight_level planner_type
15.00 5.00 65.00 5.00 75.00 45.00 0.50 7.00 4.00 110.00 2.00
75.00 85.00 15.00 35.00 75.00 45.00 0.50 10.00 7.00 70.00 2.00
55.00 35.00 25.00 95.00 25.00 75.00 0.50 4.00 4.00 70.00 0.00
45.00 55.00 45.00 75.00 15.00 45.00 0.50 4.00 10.00 150.00 1.00
45.00 5.00 75.00 45.00 95.00 45.00 0.50 10.00 10.00 150.00 1.00
35.00 45.00 85.00 5.00 85.00 15.00 0.50 10.00 7.00 150.00 2.00
95.00 35.00 45.00 55.00 35.00 5.00 0.50 4.00 7.00 110.00 0.00
25.00 25.00 45.00 5.00 5.00 65.00 0.50 7.00 4.00 70.00 1.00
45.00 95.00 25.00 15.00 65.00 85.00 0.50 7.00 4.00 150.00 0.00
25.00 35.00 5.00 85.00 15.00 55.00 0.50 4.00 7.00 150.00 1.00
95.00 85.00 25.00 15.00 25.00 25.00 0.50 10.00 4.00 70.00 2.00
5.00 35.00 15.00 85.00 95.00 5.00 0.50 10.00 10.00 110.00 2.00
15.00 5.00 55.00 5.00 5.00 15.00 0.50 4.00 10.00 110.00 1.00
95.00 45.00 95.00 5.00 65.00 15.00 0.50 4.00 4.00 70.00 1.00
65.00 55.00 65.00 45.00 15.00 75.00 0.50 10.00 10.00 150.00 2.00
75.00 5.00 75.00 75.00 75.00 15.00 0.50 7.00 4.00 70.00 0.00
15.00 5.00 25.00 65.00 65.00 5.00 0.50 7.00 10.00 70.00 2.00
55.00 5.00 95.00 75.00 85.00 5.00 0.50 7.00 10.00 70.00 1.00
45.00 75.00 95.00 75.00 95.00 95.00 0.50 10.00 7.00 150.00 0.00
25.00 55.00 55.00 35.00 75.00 35.00 0.50 10.00 4.00 70.00 0.00
85.00 25.00 85.00 15.00 85.00 85.00 0.50 10.00 4.00 150.00 0.00
85.00 35.00 45.00 35.00 35.00 95.00 0.50 4.00 4.00 70.00 0.00
35.00 55.00 65.00 85.00 65.00 85.00 0.50 10.00 4.00 110.00 0.00
35.00 55.00 95.00 75.00 5.00 75.00 0.50 4.00 10.00 110.00 0.00
95.00 75.00 15.00 85.00 75.00 95.00 0.50 4.00 7.00 110.00 0.00
35.00 65.00 25.00 45.00 85.00 25.00 0.50 7.00 7.00 110.00 1.00
65.00 85.00 25.00 85.00 95.00 65.00 0.50 7.00 4.00 110.00 2.00
45.00 65.00 45.00 25.00 5.00 15.00 0.50 10.00 4.00 150.00 1.00
35.00 85.00 5.00 55.00 75.00 25.00 0.50 10.00 4.00 150.00 0.00
75.00 85.00 35.00 15.00 85.00 45.00 0.50 10.00 10.00 110.00 2.00
85.00 5.00 85.00 15.00 15.00 15.00 0.50 7.00 7.00 70.00 1.00
15.00 45.00 75.00 5.00 35.00 55.00 0.50 7.00 10.00 150.00 2.00
75.00 75.00 95.00 35.00 25.00 35.00 0.50 4.00 4.00 110.00 2.00
75.00 45.00 95.00 65.00 25.00 35.00 0.50 7.00 10.00 150.00 1.00
15.00 75.00 5.00 75.00 15.00 75.00 0.50 7.00 7.00 110.00 2.00
55.00 5.00 15.00 75.00 35.00 15.00 0.50 7.00 4.00 110.00 0.00
65.00 45.00 75.00 5.00 25.00 85.00 0.50 10.00 7.00 110.00 1.00
55.00 95.00 15.00 55.00 85.00 35.00 0.50 4.00 7.00 150.00 0.00
15.00 25.00 45.00 75.00 65.00 85.00 0.50 7.00 10.00 110.00 1.00
65.00 75.00 85.00 15.00 5.00 25.00 0.50 4.00 7.00 110.00 0.00
85.00 25.00 15.00 65.00 75.00 95.00 0.50 10.00 4.00 150.00 0.00
25.00 15.00 45.00 55.00 75.00 35.00 0.50 10.00 7.00 70.00 1.00
55.00 15.00 75.00 15.00 45.00 75.00 0.50 4.00 7.00 110.00 2.00
15.00 45.00 75.00 65.00 55.00 95.00 0.50 4.00 10.00 150.00 1.00
25.00 95.00 55.00 15.00 35.00 35.00 0.50 10.00 4.00 70.00 0.00
95.00 55.00 35.00 95.00 45.00 95.00 0.50 7.00 7.00 70.00 2.00
65.00 45.00 75.00 95.00 65.00 5.00 0.50 10.00 4.00 110.00 1.00
5.00 85.00 55.00 85.00 5.00 15.00 0.50 4.00 4.00 110.00 1.00
55.00 95.00 55.00 5.00 65.00 15.00 0.50 7.00 4.00 70.00 1.00
