Combination,Start_X,Start_Y,Objective_X,Objective_Y,Step,Planner_Type,Distance_Threshold,Escalado_Vectores,Flight_Level,Execution_Time,Trajectory_Points,Error_Code,Error_Message
1,68.33,110.56,5.00,152.78,0.50,1,7.00,6.00,70.00,0.136000,171,0,"Success"
2,173.89,152.78,110.56,131.67,0.50,0,10.00,6.00,230.00,0.162000,143,0,"Success"
3,173.89,68.33,68.33,152.78,0.50,1,7.00,6.00,150.00,0.140000,313,0,"Success"
4,195.00,26.11,26.11,131.67,0.50,1,10.00,6.00,230.00,0.126000,442,0,"Success"
5,110.56,195.00,26.11,5.00,0.50,0,7.00,5.00,150.00,0.125000,468,0,"Success"
6,131.67,26.11,68.33,68.33,0.50,0,7.00,6.00,230.00,0.126000,161,0,"Success"
7,5.00,89.44,5.00,173.89,0.50,2,4.00,6.00,150.00,0.123000,178,0,"Success"
8,173.89,89.44,26.11,110.56,0.50,1,7.00,6.00,70.00,0.000000,0,2,"Objectve point is inside an obstacle"
9,110.56,173.89,152.78,89.44,0.50,0,10.00,6.00,70.00,0.127000,302,0,"Success"
10,110.56,195.00,173.89,195.00,0.50,1,7.00,4.00,150.00,0.119000,133,0,"Success"
11,195.00,110.56,5.00,152.78,0.50,1,4.00,6.00,70.00,0.114000,424,0,"Success"
12,173.89,173.89,195.00,89.44,0.50,0,7.00,4.00,230.00,0.141000,192,0,"Success"
13,131.67,47.22,68.33,47.22,0.50,0,7.00,6.00,150.00,0.138000,140,0,"Success"
14,47.22,5.00,173.89,68.33,0.50,2,7.00,6.00,230.00,0.116000,307,0,"Success"
15,5.00,131.67,131.67,26.11,0.50,0,7.00,6.00,70.00,0.117000,359,0,"Success"
16,110.56,195.00,26.11,47.22,0.50,0,10.00,6.00,70.00,0.130000,405,0,"Success"
17,68.33,89.44,47.22,173.89,0.50,1,10.00,6.00,230.00,0.000000,0,1,"Initial point is inside an obstacle"
18,173.89,131.67,110.56,131.67,0.50,2,7.00,4.00,230.00,0.131000,139,0,"Success"
19,5.00,152.78,131.67,195.00,0.50,1,4.00,6.00,230.00,0.118000,289,0,"Success"
20,173.89,47.22,173.89,173.89,0.50,0,7.00,4.00,150.00,0.120000,284,0,"Success"
21,47.22,68.33,131.67,26.11,0.50,0,4.00,6.00,230.00,0.114000,205,0,"Success"
22,47.22,68.33,5.00,152.78,0.50,1,7.00,5.00,150.00,0.128000,211,0,"Success"
23,5.00,173.89,68.33,195.00,0.50,2,7.00,4.00,230.00,0.125000,153,0,"Success"
24,26.11,173.89,47.22,5.00,0.50,1,7.00,5.00,150.00,0.114000,370,0,"Success"
25,68.33,173.89,110.56,195.00,0.50,2,10.00,6.00,70.00,0.113000,101,0,"Success"
26,131.67,110.56,131.67,5.00,0.50,1,7.00,6.00,230.00,0.108000,225,0,"Success"
27,26.11,68.33,47.22,5.00,0.50,2,7.00,6.00,230.00,0.106000,147,0,"Success"
28,89.44,47.22,68.33,110.56,0.50,1,7.00,4.00,150.00,0.121000,151,0,"Success"
29,47.22,131.67,26.11,5.00,0.50,0,4.00,6.00,150.00,0.114000,284,0,"Success"
30,68.33,195.00,110.56,5.00,0.50,2,7.00,5.00,150.00,0.109000,478,0,"Success"
31,173.89,5.00,195.00,5.00,0.50,2,7.00,4.00,150.00,0.111000,47,0,"Success"
32,110.56,152.78,131.67,5.00,0.50,2,7.00,5.00,150.00,0.112000,314,0,"Success"
33,195.00,152.78,89.44,110.56,0.50,0,4.00,6.00,230.00,0.121000,246,0,"Success"
34,152.78,152.78,47.22,68.33,0.50,1,10.00,4.00,70.00,0.000000,0,1,"Initial point is inside an obstacle"
35,89.44,195.00,89.44,173.89,0.50,1,10.00,5.00,230.00,0.000000,0,2,"Objectve point is inside an obstacle"
36,89.44,152.78,5.00,195.00,0.50,2,10.00,4.00,150.00,0.000000,0,2,"Objectve point is inside an obstacle"
37,131.67,47.22,152.78,68.33,0.50,2,7.00,4.00,70.00,0.133000,59,0,"Success"
38,110.56,173.89,68.33,89.44,0.50,2,10.00,5.00,70.00,0.000000,0,2,"Objectve point is inside an obstacle"
39,26.11,131.67,68.33,5.00,0.50,2,10.00,4.00,70.00,0.130000,332,0,"Success"
40,26.11,110.56,195.00,5.00,0.50,0,10.00,5.00,150.00,0.000000,0,1,"Initial point is inside an obstacle"
41,152.78,47.22,173.89,5.00,0.50,1,4.00,4.00,230.00,0.119000,101,0,"Success"
42,26.11,195.00,26.11,26.11,0.50,0,4.00,6.00,150.00,0.113000,370,0,"Success"
43,131.67,26.11,89.44,26.11,0.50,1,7.00,5.00,70.00,0.116000,88,0,"Success"
44,152.78,110.56,195.00,110.56,0.50,1,10.00,4.00,70.00,0.129000,92,0,"Success"
45,5.00,173.89,68.33,173.89,0.50,1,10.00,6.00,230.00,0.121000,140,0,"Success"
46,89.44,68.33,89.44,195.00,0.50,2,7.00,5.00,70.00,0.000000,0,1,"Initial point is inside an obstacle"
47,5.00,131.67,47.22,26.11,0.50,1,4.00,5.00,230.00,0.103000,253,0,"Success"
48,47.22,195.00,26.11,89.44,0.50,1,10.00,4.00,150.00,0.114000,261,0,"Success"
49,89.44,173.89,173.89,47.22,0.50,1,7.00,6.00,150.00,0.000000,0,1,"Initial point is inside an obstacle"
50,152.78,152.78,89.44,26.11,0.50,0,4.00,6.00,150.00,0.000000,0,1,"Initial point is inside an obstacle"
