Combination;Start_X;Start_Y;Objective_X;Objective_Y;Step;Planner_Type;Distance_Threshold;Escalado_Vectores;Flight_Level;Execution_Time;Trajectory_Points;Error_Code;Error_Message
1;45;13.89;9.44;40.56;0.5;0;10;4;230;0;0;2;Objectve point is inside an obstacle
2;13.89;40.56;31.67;18.33;0.5;1;7;6;150;0.021;68;0;Success
3;31.67;27.22;18.33;9.44;0.5;0;10;6;150;0;0;2;Objectve point is inside an obstacle
4;22.78;27.22;27.22;31.67;0.5;0;7;4;70;0.022;13;0;Success
5;27.22;9.44;31.67;9.44;0.5;1;10;5;230;0.021;10;0;Success
6;5;22.78;31.67;13.89;0.5;1;10;6;70;0.021;62;0;Success
7;31.67;40.56;18.33;45;0.5;1;4;4;70;0.022;34;0;Success
8;27.22;45;27.22;45;0.5;2;4;4;230;0.018;0;4;No trajectory generated
9;18.33;13.89;40.56;5;0.5;2;7;4;150;0;0;2;Objectve point is inside an obstacle
10;36.11;31.67;22.78;45;0.5;1;7;4;70;0.021;47;0;Success
11;45;27.22;45;27.22;0.5;0;4;6;150;0.018;0;4;No trajectory generated
12;36.11;18.33;27.22;18.33;0.5;1;4;5;150;0.023;18;0;Success
13;40.56;31.67;40.56;5;0.5;2;10;5;150;0;0;2;Objectve point is inside an obstacle
14;45;27.22;5;45;0.5;0;7;4;150;0.024;98;0;Success
15;5;22.78;31.67;18.33;0.5;1;10;5;150;0.023;59;0;Success
16;13.89;40.56;9.44;36.11;0.5;1;7;4;70;0.023;14;0;Success
17;45;36.11;22.78;36.11;0.5;1;10;6;70;0.023;44;0;Success
18;13.89;18.33;36.11;45;0.5;1;4;5;70;0.025;74;0;Success
19;27.22;45;40.56;36.11;0.5;1;7;6;70;0.024;41;0;Success
20;22.78;9.44;22.78;9.44;0.5;1;4;5;70;0.022;0;4;No trajectory generated
21;45;36.11;45;13.89;0.5;1;7;5;150;0.025;47;0;Success
22;40.56;22.78;40.56;13.89;0.5;1;4;6;70;0;0;2;Objectve point is inside an obstacle
23;13.89;9.44;36.11;13.89;0.5;0;7;5;70;0.023;56;0;Success
24;13.89;27.22;13.89;22.78;0.5;0;4;4;150;0.022;9;0;Success
25;22.78;36.11;36.11;36.11;0.5;1;7;6;150;0;0;2;Objectve point is inside an obstacle
26;13.89;9.44;31.67;27.22;0.5;2;10;4;70;0.024;74;0;Success
27;31.67;45;36.11;22.78;0.5;0;10;4;230;0.021;48;0;Success
28;31.67;22.78;22.78;9.44;0.5;2;10;6;230;0.021;38;0;Success
29;36.11;27.22;9.44;13.89;0.5;0;7;6;150;0.021;70;0;Success
30;22.78;5;13.89;45;0.5;1;7;4;150;0.021;103;0;Success
31;13.89;18.33;31.67;45;0.5;2;10;4;70;0.022;93;0;Success
32;45;27.22;27.22;40.56;0.5;2;4;5;70;0;0;2;Objectve point is inside an obstacle
33;40.56;36.11;31.67;22.78;0.5;1;7;6;230;0.02;33;0;Success
34;36.11;36.11;40.56;40.56;0.5;2;7;6;150;0;0;1;Initial point is inside an obstacle
35;31.67;5;31.67;40.56;0.5;2;7;4;70;0.023;79;0;Success
36;36.11;13.89;18.33;22.78;0.5;0;7;4;70;0;0;2;Objectve point is inside an obstacle
37;40.56;40.56;9.44;18.33;0.5;0;10;6;230;0.025;114;0;Success
38;36.11;27.22;40.56;31.67;0.5;1;7;4;230;0.024;14;0;Success
39;45;18.33;40.56;13.89;0.5;2;10;5;150;0;0;2;Objectve point is inside an obstacle
40;13.89;40.56;40.56;9.44;0.5;1;7;5;70;0.026;92;0;Success
41;5;18.33;36.11;27.22;0.5;0;4;4;230;0.021;76;0;Success
42;13.89;22.78;40.56;22.78;0.5;0;4;5;230;0.021;66;0;Success
43;31.67;5;22.78;22.78;0.5;2;7;4;230;0.022;45;0;Success
44;5;9.44;22.78;45;0.5;0;4;4;70;0.021;86;0;Success
45;22.78;13.89;18.33;18.33;0.5;2;7;5;70;0.021;12;0;Success
46;40.56;45;36.11;45;0.5;2;7;6;230;0;0;1;Initial point is inside an obstacle
47;36.11;18.33;40.56;45;0.5;1;4;6;70;0;0;2;Objectve point is inside an obstacle
48;13.89;22.78;31.67;22.78;0.5;2;10;5;230;0.021;45;0;Success
49;31.67;40.56;31.67;45;0.5;0;7;6;70;0.02;8;0;Success
50;45;40.56;9.44;40.56;0.5;1;7;4;150;0;0;1;Initial point is inside an obstacle
