Combination;Start_X;Start_Y;Start_Z;Objective_X;Objective_Y;Objective_Z;Step;Planner_Type;Distance_Threshold;Escalado_Vectores;Flight_Level;Execution_Time;Trajectory_Points;Error_Code;Error_Message
1;418.33;57.78;8.33;56.67;5;11.67;0.5;2;10;4;110;1.757;820;5;Trajectory intersects with obstacles
2;315;268.89;5;108.33;427.22;18.33;0.5;2;4;10;70;1.745;634;5;Trajectory intersects with obstacles
3;263.33;374.44;18.33;263.33;268.89;16.67;0.5;2;7;4;70;1.708;0;4;
4;56.67;321.67;16.67;418.33;427.22;5;0.5;2;10;7;70;1.722;0;4;
5;366.67;216.11;11.67;108.33;216.11;10;0.5;2;10;10;70;2.004;566;5;Trajectory intersects with obstacles
6;108.33;110.56;11.67;418.33;321.67;5;0.5;2;7;7;150;1.789;0;4;
7;418.33;5;13.33;108.33;480;20;0.5;2;4;4;150;1.822;1220;0;Success - No collisions detected
8;418.33;321.67;18.33;5;110.56;8.33;0.5;2;7;7;150;1.703;1026;0;Success - No collisions detected
9;315;374.44;10;418.33;427.22;13.33;0.5;2;4;7;70;1.667;336;5;Trajectory intersects with obstacles
10;56.67;480;13.33;5;163.33;10;0.5;2;7;7;150;1.654;700;0;Success - No collisions detected
11;263.33;216.11;5;366.67;427.22;5;0.5;2;7;7;70;1.819;0;4;
12;108.33;57.78;13.33;366.67;5;13.33;0.5;2;10;7;110;1.813;575;0;Success - No collisions detected
13;211.67;427.22;15;56.67;321.67;18.33;0.5;2;7;4;150;1.754;396;0;Success - No collisions detected
14;263.33;374.44;8.33;108.33;374.44;6.67;0.5;2;10;4;70;1.922;0;4;
15;418.33;427.22;8.33;5;321.67;13.33;0.5;2;4;10;70;1.899;949;5;Trajectory intersects with obstacles
16;263.33;57.78;20;56.67;5;6.67;0.5;2;4;7;150;1.672;0;4;
17;470;216.11;5;211.67;110.56;5;0.5;2;7;4;150;1.688;0;4;
18;108.33;480;8.33;418.33;163.33;13.33;0.5;2;10;10;150;1.76;891;0;Success - No collisions detected
19;366.67;268.89;15;366.67;480;11.67;0.5;2;4;4;110;1.721;445;0;Success - No collisions detected
20;366.67;57.78;16.67;418.33;163.33;5;0.5;2;7;4;110;1.597;0;4;
21;418.33;163.33;16.67;160;110.56;8.33;0.5;2;10;7;150;1.654;582;5;Trajectory intersects with obstacles
