116 3
5.00 5.00 2.00
5.32 4.78 2.32
5.66 4.71 2.66
6.02 4.74 3.02
6.36 4.85 3.36
6.69 5.02 3.69
7.01 5.24 4.01
7.33 5.46 4.33
7.65 5.67 4.65
7.96 5.92 4.96
8.25 6.21 5.25
8.53 6.50 5.53
8.82 6.79 5.82
9.11 7.08 6.11
9.40 7.36 6.40
9.69 7.65 6.69
9.98 7.94 6.98
10.27 8.23 7.27
10.55 8.52 7.55
10.84 8.81 7.84
11.13 9.10 8.13
11.45 9.41 8.35
11.78 9.75 8.52
12.12 10.09 8.64
12.48 10.44 8.66
12.83 10.79 8.59
13.16 11.13 8.44
13.50 11.46 8.27
13.82 11.78 8.07
14.12 12.09 7.81
14.44 12.40 7.58
14.75 12.72 7.35
15.05 13.02 7.09
15.35 13.31 6.81
15.65 13.62 6.56
15.95 13.92 6.30
16.24 14.21 6.02
16.54 14.51 5.75
16.84 14.81 5.49
17.14 15.10 5.21
17.45 15.41 4.97
17.78 15.74 4.78
18.11 16.07 4.61
18.46 16.42 4.57
18.81 16.77 4.64
19.15 17.12 4.73
19.50 17.47 4.80
19.86 17.82 4.85
20.21 18.17 4.89
20.56 18.53 4.92
20.92 18.88 4.94
21.27 19.23 4.95
21.62 19.59 4.97
21.98 19.94 4.97
22.33 20.29 5.02
22.67 20.64 5.14
23.00 20.97 5.31
23.33 21.29 5.51
23.65 21.61 5.71
23.96 21.92 5.95
24.26 22.22 6.22
24.58 22.54 6.44
24.89 22.86 6.66
25.18 23.15 6.94
25.48 23.45 7.21
25.81 23.77 7.41
26.14 24.11 7.57
26.46 24.43 7.77
26.77 24.73 8.02
27.06 25.03 8.30
27.35 25.32 8.59
27.64 25.60 8.88
27.93 25.89 9.17
28.22 26.18 9.46
28.51 26.47 9.75
28.80 26.76 10.03
29.09 27.05 10.32
29.37 27.34 10.61
29.66 27.63 10.90
29.95 27.92 11.18
30.24 28.21 11.47
30.53 28.50 11.76
30.82 28.79 12.05
31.13 29.09 12.29
31.45 29.41 12.50
31.76 29.73 12.73
32.06 30.03 12.99
32.36 30.33 13.26
32.67 30.64 13.50
32.98 30.94 13.75
33.27 31.23 14.04
33.57 31.54 14.29
33.90 31.87 14.47
34.24 32.21 14.61
34.59 32.55 14.71
34.94 32.90 14.79
35.29 33.26 14.82
35.64 33.61 14.75
35.98 33.94 14.61
36.31 34.28 14.43
36.64 34.60 14.24
36.95 34.91 14.00
37.25 35.22 13.75
37.57 35.53 13.52
37.87 35.84 13.27
38.17 36.13 12.99
38.47 36.43 12.73
38.77 36.74 12.48
39.07 37.04 12.21
39.31 37.35 11.90
39.50 37.70 11.60
39.63 38.05 11.27
39.73 38.40 10.93
39.80 38.80 10.64
39.87 39.25 10.42
40.00 40.00 10.00
